                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.64705,                0.35037,                 1.0538,                0.99877,                      1,                  0.995,                0.86645,                0.59627,                0.29816,                 1.0939,             0.00053652,             0.00053652,             0.00053652
                    140,                0.68033,                0.35809,                  1.092,                 0.9991,                      1,                  0.995,                0.87917,                0.55778,                0.28837,                  1.071,             0.00052827,             0.00052827,             0.00052827
                    141,                0.63207,                0.34134,                 1.0477,                0.99895,                      1,                  0.995,                0.88008,                0.54343,                0.28461,                 1.0567,             0.00052002,             0.00052002,             0.00052002
                    142,                  0.621,                0.33864,                 1.0479,                0.99919,                      1,                  0.995,                0.88189,                0.53954,                0.27312,                 1.0574,             0.00051177,             0.00051177,             0.00051177
                    143,                0.64599,                0.33608,                 1.0844,                0.99938,                      1,                  0.995,                0.88782,                0.53605,                0.27037,                 1.0538,             0.00050352,             0.00050352,             0.00050352
                    144,                0.61026,                0.32519,                 1.0391,                0.99931,                      1,                  0.995,                0.88436,                0.53917,                0.27392,                 1.0501,             0.00049527,             0.00049527,             0.00049527
                    145,                 0.6145,                0.33716,                 1.0528,                0.99949,                      1,                  0.995,                0.88481,                0.52682,                0.26669,                 1.0488,             0.00048701,             0.00048701,             0.00048701
                    146,                0.61868,                0.33752,                 1.0723,                0.99949,                      1,                  0.995,                0.88378,                0.52715,                0.27077,                 1.0462,             0.00047876,             0.00047876,             0.00047876
                    147,                0.62281,                0.32337,                  1.035,                0.99955,                      1,                  0.995,                0.89577,                0.52313,                0.26516,                 1.0427,             0.00047051,             0.00047051,             0.00047051
                    148,                0.58629,                0.32003,                 1.0238,                0.99959,                      1,                  0.995,                0.88634,                0.54184,                0.26402,                 1.0515,             0.00046226,             0.00046226,             0.00046226
                    149,                 0.6481,                0.33328,                  1.088,                0.99952,                      1,                  0.995,                0.88291,                0.54131,                0.26669,                 1.0493,             0.00045401,             0.00045401,             0.00045401
                    150,                0.61462,                0.32774,                 1.0518,                0.99963,                      1,                  0.995,                0.88776,                0.53564,                0.26154,                 1.0494,             0.00044576,             0.00044576,             0.00044576
                    151,                0.61081,                0.32526,                 1.0508,                0.99933,                      1,                  0.995,                0.88692,                0.53597,                0.26522,                 1.0457,              0.0004375,              0.0004375,              0.0004375
                    152,                 0.6194,                0.33225,                 1.0545,                0.99964,                      1,                  0.995,                0.88735,                0.52927,                0.26189,                 1.0474,             0.00042925,             0.00042925,             0.00042925
                    153,                0.62829,                 0.3365,                 1.0578,                0.99954,                      1,                  0.995,                0.88641,                0.53998,                0.26625,                 1.0553,               0.000421,               0.000421,               0.000421
